iter	Passed	Remaining
0	0	69
1	1	61
2	1	58
3	2	63
4	3	65
5	4	65
6	4	62
7	5	60
8	5	58
9	6	57
10	6	56
11	7	55
12	8	53
13	8	53
14	9	53
15	10	54
16	11	54
17	12	54
18	12	54
19	13	54
20	14	53
21	14	53
22	15	52
23	16	52
24	17	51
25	17	50
26	18	49
27	18	48
28	19	47
29	20	46
30	20	46
31	21	45
32	22	45
33	22	44
34	23	43
35	24	43
36	25	42
37	25	42
38	26	41
39	27	41
40	28	40
41	28	39
42	29	38
43	30	38
44	31	38
45	31	37
46	32	36
47	33	36
48	34	35
49	35	35
50	35	34
51	36	33
52	37	33
53	37	32
54	38	31
55	39	30
56	40	30
57	40	29
58	41	28
59	42	28
60	43	27
61	44	27
62	45	26
63	45	25
64	46	25
65	47	24
66	47	23
67	48	22
68	49	22
69	49	21
70	50	20
71	51	20
72	52	19
73	53	18
74	53	17
75	54	17
76	55	16
77	56	15
78	56	15
79	57	14
80	58	13
81	59	12
82	59	12
83	60	11
84	61	10
85	62	10
86	62	9
87	63	8
88	64	7
89	65	7
90	65	6
91	66	5
92	67	5
93	67	4
94	68	3
95	68	2
96	69	2
97	70	1
98	71	0
99	71	0
