iter	Passed	Remaining
0	144	144488
1	145	72484
2	145	48464
3	146	36466
4	147	29263
5	147	24470
6	148	21055
7	149	18493
8	149	16499
9	150	14909
10	151	13593
11	151	12496
12	152	11566
13	152	10771
14	153	10086
15	154	9495
16	155	8969
17	155	8492
18	156	8074
19	156	7690
20	157	7350
21	158	7037
22	158	6748
23	159	6484
24	160	6247
25	160	6031
26	161	5826
27	162	5632
28	162	5456
29	163	5289
30	164	5130
31	164	4980
32	165	4839
33	165	4714
34	166	4592
35	167	4477
36	167	4368
37	168	4262
38	168	4163
39	169	4072
40	170	3981
41	170	3896
42	171	3816
43	172	3741
44	173	3673
45	173	3601
46	174	3532
47	174	3467
48	175	3404
49	175	3342
50	176	3283
51	177	3228
52	177	3173
53	178	3123
54	178	3074
55	179	3026
56	180	2978
57	180	2933
58	181	2889
59	181	2846
60	182	2805
61	182	2765
62	183	2728
63	184	2692
64	184	2658
65	185	2623
66	185	2589
67	186	2556
68	187	2524
69	187	2492
70	188	2460
71	188	2431
72	189	2401
73	189	2373
74	190	2347
75	190	2321
76	191	2295
77	192	2270
78	192	2245
79	193	2220
80	193	2197
81	194	2173
82	194	2149
83	195	2126
84	195	2104
85	196	2086
86	197	2070
87	197	2050
88	198	2031
89	199	2012
90	199	1993
91	200	1975
92	200	1957
93	201	1939
94	201	1922
95	202	1906
96	203	1892
97	203	1877
98	204	1861
99	205	1845
100	205	1829
101	206	1814
102	206	1799
103	207	1784
104	207	1770
105	208	1756
106	208	1743
107	209	1730
108	210	1717
109	210	1704
110	211	1691
111	211	1679
112	212	1667
113	212	1655
114	213	1643
115	214	1631
116	214	1620
117	215	1610
118	216	1601
119	216	1590
120	217	1580
121	218	1569
122	218	1558
123	219	1548
124	219	1538
125	220	1528
126	220	1518
127	221	1510
128	222	1501
129	222	1492
130	223	1482
131	224	1474
132	224	1464
133	225	1455
134	225	1446
135	226	1438
136	227	1429
137	227	1421
138	228	1416
139	229	1408
140	229	1400
141	230	1391
142	230	1382
143	231	1374
144	231	1366
145	232	1358
146	232	1351
147	233	1343
148	233	1336
149	234	1330
150	235	1322
151	235	1315
152	236	1308
153	236	1301
154	237	1294
155	237	1287
156	238	1280
157	239	1274
158	239	1268
159	240	1263
160	241	1257
161	241	1251
162	242	1245
163	243	1240
164	243	1234
165	244	1228
166	245	1222
167	245	1216
168	246	1212
169	247	1206
170	247	1201
171	248	1195
172	248	1190
173	249	1184
174	250	1179
175	250	1173
176	251	1168
177	251	1163
178	252	1158
179	253	1154
180	253	1149
181	254	1144
